address,amount
8fkV269Apq3zxVFucLFmYAyicFswe9LuqKdPZkyWDEvs,2000000000
Ex9yuTWXqe2Fw3gn5SLR62d3itwBFTuybdmhY9HDg8up,3000000000
9QfXFkA8vK2QaHQE36jcbmZ111j7Yy8bkC1XJeBS6c1w,4000000000
7gLdiRAD5spNgCX9MD6cdD7brbuih77svPvH5b1fEsmu,3000000000
nSTDKjWAPmLhZaK9WBfJzxfFXqoVD1ouejNzxozkpVu,2000000000
BXwFBRXbsWdHmwqikhMY2QztZ9bp7MrN4ZAatYdY3mAK,5000000000
Fh6baRkU9WjXxPCAfDjPqBDwVyB4rr7A4Pmv7cgJPbCk,6000000000
5j5x76xPLTdLmp78BaiGSzB83Bi8hp8L2Ratm7Ds7dpj,4000000000
2s4WRRvK9v48TvBRxYYfbrNBELbkVu6jE6oPbDgKzV8a,669378
4vqCAVC4EEa9tXCpDPn13E64tbniaQMzjmxRksSVmCNS,9323196
7gg7L7AnN9ocqAkRgYqmA1F6meJ37m4yEbshMfsfHQYR,4551668
4nPVSdxPFTZXYz5qdCjBi8MpZn3YEmJG38BoacQb5Y56,4051291
GYogRB9LpASSfdBLJoKcPzS4RH8hXMUkr1L1k9rPAzMT,73274
AEimTmwgPK1BZ6zhTZeGgswLTh6r4MTgG6keBAcAeMJB,8272633
64ZxBP6nq9fNcg1L7GpLCM8L2f3hpjN8jCuwyYRhYSSP,7827090
4xngd784HfkcKJiqQyXfA24iqh6sQNeacxyNjjZuDwZ6,4380341
6p9uLFVkUPurcrWkSUPKfaQJaqyxWpduWBbbzMdjDHHb,9920158
2rYamc6yXwcjV8R8k7bSeaLu5CxAwGQ8pcPcTeAD15uU,7661539
EMwf4YBL3S5QhL9hDNEQU9rGMsKcs4W1aZvE2Hc2mjpY,5013502
8sSJg5kMmTppErun8kAqbFb4CWHZsTJKxWQYJU9FuWVB,454160
8kWnNentPwHi45D87DCj2UhqVoARSeFjULeo4WhDCbYd,5597695
A4wjK8WSufjP674N6cqiCZHutPib34gjAxKG9qt1ZbAV,7903821
Cj6fo1VQUpA8U8CA8xVoXw4dSYS9pb91TxuEbExD5XTp,8734409
BSPV7VFCxUZ6XZ6TiwocHhUJA6iQ3zxaLgNNhouMC25X,1961336
5eYUNbGnKhgG2VTdySCCgdminP6wgomKMaPGGzAQuaYS,1462794
9jvMnJk8hNDKa915xA4tR76ZxMqg9fVrVkQfHBsFBBSJ,1297505
49P4rvNXK8zXduXLVmtTfePWgwxoqYJQ9uY7JPQ8MkbD,2651197
o2QEdXJQNTuQs7K2Ga7fingUH1mqhNmTxdtrmJvCy6J,8354607
5TM3obwCjUngMsbAWTDweMJLbSchYpxtfZ63LDAHR8Q,3159771
H6LgDCzeGBNjZ8CxpcNzHnZW1TabsEeyCC7ckkvntnnJ,7082946
6dGoonD1o3Hcw9E1Gi1BpXDvgcEdfPb3X6wPMg86e3Y2,5000000000
7Lqw5ZJXbwKGuGTz2o5GHamqvBRJ5d8xwA4X6yzq7oUZ,5000000000
HXVp1j8PL6hFLbsAAGd2JD4aNTNZHGoX33gggsQRwERg,7000000000
4mepPhkG56rNBEgyKX1KjX8ptiRRpPCo9Y6Azb9mmU6N,3000000000
EqtDuW77EMZwVZQx3m4ZyJrpd8hnZfyiBqMP6yUNZSbZ,5000000000
ABr3bP9RrFop3D81m3ajc4Jzg8GBvSNHWowrW7KE4MP,1000000000
